"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "GDScript", "compressionTargetFile", "CSS", "JavaScript", "XML", "LEC", "Markdown", "Shell Script", "Rust", "YAML", "C++", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\synchronice_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 12, 30
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\startPatnicRoom.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\.rustc_info.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\DevCLI-ceddd4289fceac02\bin-DevCLI.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\array-macro-87de2f5b2958cc71\lib-array-macro.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\atty-afb09c107cfed0ad\lib-atty.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\autocfg-773433390f632914\lib-autocfg.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\bitflags-6296c1dd02b0fc4c\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\bitflags-b9d72901f76b5b50\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\bitflags-bf8ac5e3c607add6\lib-bitflags.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\cc-051cd31ad442fa17\lib-cc.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
